Bin,Chromosome,Position,FC_Sbe_vs_Wte,FC_sbg_vs_wtg
LinJ23-85000-90000,23,87500,3.5,3.5
LinJ23-90000-95000,23,92500,3.5,3.5
LinJ23-95000-100000,23,97500,3.5,3.5
LinJ23-80000-85000,23,82500,3.5,3.5
LinJ23-75000-80000,23,77500,0.28488717,3.5
LinJ17-170000-175000,17,172500,0.857063356,1.579339165
LinJ26-300000-305000,26,302500,0.233221403,1.403499779
LinJ33-1285000-1290000,33,1287500,0.688476421,1.365281606
LinJ26-885000-890000,26,887500,0.492088122,1.20137467
LinJ26-580000-585000,26,582500,0.653004317,1.183558176
LinJ23-65000-70000,23,67500,-0.017997034,1.157731327
LinJ18-440000-445000,18,442500,0.084542226,1.151658616
LinJ17-180000-185000,17,182500,1.153600141,1.101502415
LinJ11-165000-170000,11,167500,0.325534183,1.065338055
LinJ18-215000-220000,18,217500,0.287436233,1.057672747
LinJ26-40000-45000,26,42500,0.719106432,1.055348523
LinJ19-60000-65000,19,62500,0,1.047729338
LinJ26-10000-15000,26,12500,0.672011369,1.028705868
LinJ26-615000-620000,26,617500,0.549934324,1.021453336
LinJ26-600000-605000,26,602500,-1.555130982,1.004635185
LinJ26-295000-300000,26,297500,0.435207182,0.989444449
LinJ26-565000-570000,26,567500,0.355214119,0.978437003
LinJ17-165000-170000,17,167500,0.885090539,0.97097599
LinJ26-750000-755000,26,752500,0.643936246,0.967207852
LinJ26-620000-625000,26,622500,0.530593048,0.960019555
LinJ26-1040000-1045000,26,1042500,0.696579411,0.935609074
LinJ26-35000-40000,26,37500,0.631481853,0.930893423
LinJ17-175000-180000,17,177500,0.896538272,0.914457697
LinJ26-575000-580000,26,577500,0.564775604,0.910254716
LinJ26-15000-20000,26,17500,0.585147004,0.909259218
LinJ17-185000-190000,17,187500,0.775153475,0.899383227
LinJ26-1045000-1050000,26,1047500,0.64659734,0.879991191
LinJ33-1280000-1285000,33,1282500,0.499486551,0.878847766
LinJ26-415000-420000,26,417500,0.784612783,0.871063322
LinJ26-195000-200000,26,197500,0.515975234,0.870091165
LinJ26-1005000-1010000,26,1007500,0.628127293,0.869388579
LinJ26-30000-35000,26,32500,0.596367352,0.866046122
LinJ26-305000-310000,26,307500,0.401798979,0.859681301
LinJ26-105000-110000,26,107500,0.524651582,0.858826744
LinJ26-180000-185000,26,182500,0.675281003,0.85765182
LinJ13-460000-465000,13,462500,0.060407569,0.850417738
LinJ26-485000-490000,26,487500,0.568274033,0.848881601
LinJ33-1330000-1335000,33,1332500,0.720036643,0.848531946
LinJ26-45000-50000,26,47500,0.544227948,0.844914471
LinJ26-5000-10000,26,7500,0.55020657,0.840525387
LinJ26-205000-210000,26,207500,0.610684379,0.840400486
LinJ26-155000-160000,26,157500,0.541897354,0.840296495
LinJ26-610000-615000,26,612500,0.515261476,0.834688625
LinJ26-530000-535000,26,532500,0.719469931,0.834287775
LinJ26-980000-985000,26,982500,0.422164719,0.833908106
LinJ33-895000-900000,33,897500,0.701470926,0.833175391
LinJ26-165000-170000,26,167500,0.53825407,0.829271055
LinJ17-160000-165000,17,162500,1.026397443,0.829078794
LinJ26-570000-575000,26,572500,0.455636316,0.827101058
LinJ26-890000-895000,26,892500,0.589040254,0.822575037
LinJ26-745000-750000,26,747500,0.562728655,0.822374741
LinJ26-805000-810000,26,807500,0.608432355,0.820768552
LinJ18-225000-230000,18,227500,0.513156568,0.81824237
LinJ26-1025000-1030000,26,1027500,0.529383994,0.815588989
LinJ26-75000-80000,26,77500,0.514226314,0.814592418
LinJ26-585000-590000,26,587500,0.569587124,0.813921928
LinJ10-15000-20000,10,17500,-0.186446925,0.806481906
LinJ26-1035000-1040000,26,1037500,0.491057241,0.803518894
LinJ26-170000-175000,26,172500,0.50448498,0.803314262
LinJ26-985000-990000,26,987500,0.477564355,0.801176176
LinJ26-755000-760000,26,757500,0.679308775,0.800350947
LinJ18-90000-95000,18,92500,0.481271661,0.799781362
LinJ33-765000-770000,33,767500,0.713799583,0.797893054
LinJ11-175000-180000,11,177500,0.453049654,0.796934516
LinJ18-60000-65000,18,62500,0.545894381,0.794526472
LinJ26-50000-55000,26,52500,0.502430865,0.788537793
LinJ26-995000-1000000,26,997500,0.545261149,0.787509202
LinJ26-115000-120000,26,117500,0.532737466,0.787463746
LinJ26-410000-415000,26,412500,0.601255946,0.787008606
LinJ33-1300000-1305000,33,1302500,0.633845178,0.786402457
LinJ26-70000-75000,26,72500,0.546955351,0.786116869
LinJ26-450000-455000,26,452500,0.533808135,0.785887861
LinJ18-565000-570000,18,567500,0.562388165,0.785385988
LinJ26-290000-295000,26,292500,0.63748961,0.784394632
LinJ26-310000-315000,26,312500,0.450013642,0.781257471
LinJ33-1165000-1170000,33,1167500,0.793089589,0.78122766
LinJ26-95000-100000,26,97500,0.576198389,0.781129393
LinJ33-1475000-1480000,33,1477500,0.532030084,0.780709249
LinJ26-1000000-1005000,26,1002500,0.583313651,0.780435874
LinJ26-510000-515000,26,512500,0.668312853,0.780303613
LinJ26-80000-85000,26,82500,0.474808285,0.778727676
LinJ26-275000-280000,26,277500,0.427817624,0.777940159
LinJ26-965000-970000,26,967500,0.6333323,0.776690464
LinJ33-1170000-1175000,33,1172500,0.681847551,0.776279207
LinJ26-495000-500000,26,497500,0.600250543,0.775018848
LinJ26-160000-165000,26,162500,0.631512757,0.771963034
LinJ26-865000-870000,26,867500,0.486269977,0.771316987
LinJ26-55000-60000,26,57500,0.561138174,0.769402609
LinJ18-450000-455000,18,452500,0.452437339,0.769222974
LinJ26-400000-405000,26,402500,0.397602,0.768991075
LinJ11-170000-175000,11,172500,0.488725711,0.766732589
LinJ26-540000-545000,26,542500,0.55061313,0.764377516
LinJ26-1050000-1055000,26,1052500,0.645899756,0.762807406
LinJ26-810000-815000,26,812500,0.532001866,0.761786283
LinJ26-365000-370000,26,367500,0.544870232,0.759657627
LinJ26-375000-380000,26,377500,0.464659741,0.757283556
LinJ35-1460000-1465000,35,1462500,0,0.756978111
LinJ26-630000-635000,26,632500,0.48590091,0.75681631
LinJ26-490000-495000,26,492500,0.633408655,0.756286142
LinJ26-190000-195000,26,192500,0.514053773,0.756085165
LinJ26-730000-735000,26,732500,0.502867809,0.755914004
LinJ26-930000-935000,26,932500,0.447307749,0.753626922
LinJ26-740000-745000,26,742500,0.547670013,0.753141377
LinJ26-280000-285000,26,282500,0.558810351,0.753071954
LinJ26-960000-965000,26,962500,0.52620578,0.752727208
LinJ26-140000-145000,26,142500,0.464754495,0.7518781
LinJ26-550000-555000,26,552500,0.489723852,0.750731848
LinJ26-85000-90000,26,87500,0.48435196,0.749819079
LinJ26-525000-530000,26,527500,0.568397226,0.749084976
LinJ18-65000-70000,18,67500,0.480110823,0.747983115
LinJ26-1030000-1035000,26,1032500,0.617297363,0.746862073
LinJ26-785000-790000,26,787500,0.548140348,0.744283679
LinJ33-1405000-1410000,33,1407500,0.693440426,0.744124432
LinJ26-355000-360000,26,357500,0.56346849,0.744093521
LinJ26-515000-520000,26,517500,0.487686487,0.743409637
LinJ11-5000-10000,11,7500,0.540280643,0.742935283
LinJ26-900000-905000,26,902500,0.524649858,0.740889455
LinJ26-840000-845000,26,842500,0.630243275,0.740836986
LinJ26-185000-190000,26,187500,0.538390426,0.740681597
LinJ26-65000-70000,26,67500,0.56605817,0.739906946
LinJ26-90000-95000,26,92500,0.56896336,0.735656665
LinJ26-60000-65000,26,62500,0.554676903,0.735225896
LinJ26-325000-330000,26,327500,0.514050682,0.734431214
LinJ26-705000-710000,26,707500,0.596744036,0.734374789
LinJ33-1340000-1345000,33,1342500,0.603343706,0.733759344
LinJ33-1355000-1360000,33,1357500,0.655305725,0.732206111
LinJ26-800000-805000,26,802500,0.595050482,0.731601897
LinJ23-0-5000,23,2500,-0.099817797,0.727285928
LinJ26-285000-290000,26,287500,0.533883314,0.726949597
LinJ26-1010000-1015000,26,1012500,0.552163199,0.725932736
LinJ33-1335000-1340000,33,1337500,0.629448322,0.725671797
LinJ26-340000-345000,26,342500,0.579781981,0.723339025
LinJ26-855000-860000,26,857500,0.44996822,0.723139757
LinJ26-950000-955000,26,952500,0.543632414,0.722552824
LinJ33-1385000-1390000,33,1387500,0.602917366,0.722538703
LinJ26-915000-920000,26,917500,0.39721789,0.7216894
LinJ26-1015000-1020000,26,1017500,0.576611616,0.721514586
LinJ18-230000-235000,18,232500,0.424774509,0.7212674
LinJ26-120000-125000,26,122500,0.515667128,0.717909227
LinJ26-435000-440000,26,437500,0.453661192,0.717369803
LinJ33-1495000-1500000,33,1497500,0.606046528,0.716592295
LinJ36-1665000-1670000,36,1667500,0.125294469,0.71283848
LinJ26-795000-800000,26,797500,0.593008437,0.709692232
LinJ33-1380000-1385000,33,1382500,0.699285333,0.705433434
LinJ26-370000-375000,26,372500,0.515220026,0.705203925
LinJ26-145000-150000,26,147500,0.569161578,0.704811908
LinJ26-320000-325000,26,322500,0.551869111,0.703829737
LinJ26-500000-505000,26,502500,0.552228368,0.703289627
LinJ26-0-5000,26,2500,0.615213418,0.703039214
LinJ26-735000-740000,26,737500,0.483835893,0.702440768
LinJ26-970000-975000,26,972500,0.574969139,0.7021132
LinJ26-505000-510000,26,507500,0.520858274,0.701208713
LinJ18-220000-225000,18,222500,0.244932023,0.700465272
LinJ33-1365000-1370000,33,1367500,0.709811599,0.697196142
LinJ35-1495000-1500000,35,1497500,0.195504111,0.695502125
LinJ26-690000-695000,26,692500,0.423730795,0.695335247
LinJ26-945000-950000,26,947500,0.488175748,0.695097331
LinJ26-685000-690000,26,687500,0.534973764,0.694739345
LinJ10-550000-555000,10,552500,0,0.694470887
LinJ26-125000-130000,26,127500,0.597974429,0.693292909
LinJ26-875000-880000,26,877500,0.51974822,0.691630827
LinJ33-1175000-1180000,33,1177500,0.632710822,0.687157454
LinJ26-765000-770000,26,767500,0.518492902,0.685932091
LinJ26-175000-180000,26,177500,0.457158422,0.685912829
LinJ33-1160000-1165000,33,1162500,0.674330987,0.685091602
LinJ33-760000-765000,33,762500,0.813586832,0.683931803
LinJ26-880000-885000,26,882500,0.530887059,0.683289442
LinJ26-130000-135000,26,132500,0.491809454,0.682612567
LinJ26-395000-400000,26,397500,0.471907518,0.680870777
LinJ26-815000-820000,26,817500,0.484168883,0.677932579
