GeneID	Chr	start	end	Strand
LinJ01-0-5000	LinJ01	0	5000	+
LinJ01-5000-10000	LinJ01	5000	10000	+
LinJ01-10000-15000	LinJ01	10000	15000	+
LinJ01-15000-20000	LinJ01	15000	20000	+
LinJ01-20000-25000	LinJ01	20000	25000	+
LinJ01-25000-30000	LinJ01	25000	30000	+
LinJ01-30000-35000	LinJ01	30000	35000	+
LinJ01-35000-40000	LinJ01	35000	40000	+
LinJ01-40000-45000	LinJ01	40000	45000	+
LinJ01-45000-50000	LinJ01	45000	50000	+
LinJ01-50000-55000	LinJ01	50000	55000	+
LinJ01-55000-60000	LinJ01	55000	60000	+
LinJ01-60000-65000	LinJ01	60000	65000	+
LinJ01-65000-70000	LinJ01	65000	70000	+
LinJ01-70000-75000	LinJ01	70000	75000	+
LinJ01-75000-80000	LinJ01	75000	80000	+
LinJ01-80000-85000	LinJ01	80000	85000	+
LinJ01-85000-90000	LinJ01	85000	90000	+
LinJ01-90000-95000	LinJ01	90000	95000	+
LinJ01-95000-100000	LinJ01	95000	100000	+
LinJ01-100000-105000	LinJ01	100000	105000	+
LinJ01-105000-110000	LinJ01	105000	110000	+
LinJ01-110000-115000	LinJ01	110000	115000	+
LinJ01-115000-120000	LinJ01	115000	120000	+
LinJ01-120000-125000	LinJ01	120000	125000	+
LinJ01-125000-130000	LinJ01	125000	130000	+
LinJ01-130000-135000	LinJ01	130000	135000	+
LinJ01-135000-140000	LinJ01	135000	140000	+
LinJ01-140000-145000	LinJ01	140000	145000	+
LinJ01-145000-150000	LinJ01	145000	150000	+
LinJ01-150000-155000	LinJ01	150000	155000	+
LinJ01-155000-160000	LinJ01	155000	160000	+
LinJ01-160000-165000	LinJ01	160000	165000	+
LinJ01-165000-170000	LinJ01	165000	170000	+
LinJ01-170000-175000	LinJ01	170000	175000	+
LinJ01-175000-180000	LinJ01	175000	180000	+
LinJ01-180000-185000	LinJ01	180000	185000	+
LinJ01-185000-190000	LinJ01	185000	190000	+
LinJ01-190000-195000	LinJ01	190000	195000	+
LinJ01-195000-200000	LinJ01	195000	200000	+
LinJ01-200000-205000	LinJ01	200000	205000	+
LinJ01-205000-210000	LinJ01	205000	210000	+
LinJ01-210000-215000	LinJ01	210000	215000	+
LinJ01-215000-220000	LinJ01	215000	220000	+
LinJ01-220000-225000	LinJ01	220000	225000	+
LinJ01-225000-230000	LinJ01	225000	230000	+
LinJ01-230000-235000	LinJ01	230000	235000	+
LinJ01-235000-240000	LinJ01	235000	240000	+
LinJ01-240000-245000	LinJ01	240000	245000	+
LinJ01-245000-250000	LinJ01	245000	250000	+
LinJ01-250000-255000	LinJ01	250000	255000	+
LinJ01-255000-260000	LinJ01	255000	260000	+
LinJ01-260000-265000	LinJ01	260000	265000	+
LinJ01-265000-270000	LinJ01	265000	270000	+
LinJ01-270000-275000	LinJ01	270000	275000	+
LinJ01-275000-278267	LinJ01	275000	278267	+
LinJ02-0-5000	LinJ02	0	5000	+
LinJ02-5000-10000	LinJ02	5000	10000	+
LinJ02-10000-15000	LinJ02	10000	15000	+
LinJ02-15000-20000	LinJ02	15000	20000	+
LinJ02-20000-25000	LinJ02	20000	25000	+
LinJ02-25000-30000	LinJ02	25000	30000	+
LinJ02-30000-35000	LinJ02	30000	35000	+
LinJ02-35000-40000	LinJ02	35000	40000	+
LinJ02-40000-45000	LinJ02	40000	45000	+
LinJ02-45000-50000	LinJ02	45000	50000	+
LinJ02-50000-55000	LinJ02	50000	55000	+
LinJ02-55000-60000	LinJ02	55000	60000	+
LinJ02-60000-65000	LinJ02	60000	65000	+
LinJ02-65000-70000	LinJ02	65000	70000	+
LinJ02-70000-75000	LinJ02	70000	75000	+
LinJ02-75000-80000	LinJ02	75000	80000	+
LinJ02-80000-85000	LinJ02	80000	85000	+
LinJ02-85000-90000	LinJ02	85000	90000	+
LinJ02-90000-95000	LinJ02	90000	95000	+
LinJ02-95000-100000	LinJ02	95000	100000	+
LinJ02-100000-105000	LinJ02	100000	105000	+
LinJ02-105000-110000	LinJ02	105000	110000	+
LinJ02-110000-115000	LinJ02	110000	115000	+
LinJ02-115000-120000	LinJ02	115000	120000	+
LinJ02-120000-125000	LinJ02	120000	125000	+
LinJ02-125000-130000	LinJ02	125000	130000	+
LinJ02-130000-135000	LinJ02	130000	135000	+
LinJ02-135000-140000	LinJ02	135000	140000	+
LinJ02-140000-145000	LinJ02	140000	145000	+
LinJ02-145000-150000	LinJ02	145000	150000	+
LinJ02-150000-155000	LinJ02	150000	155000	+
LinJ02-155000-160000	LinJ02	155000	160000	+
LinJ02-160000-165000	LinJ02	160000	165000	+
LinJ02-165000-170000	LinJ02	165000	170000	+
LinJ02-170000-175000	LinJ02	170000	175000	+
LinJ02-175000-180000	LinJ02	175000	180000	+
LinJ02-180000-185000	LinJ02	180000	185000	+
LinJ02-185000-190000	LinJ02	185000	190000	+
LinJ02-190000-195000	LinJ02	190000	195000	+
LinJ02-195000-200000	LinJ02	195000	200000	+
LinJ02-200000-205000	LinJ02	200000	205000	+
LinJ02-205000-210000	LinJ02	205000	210000	+
LinJ02-210000-215000	LinJ02	210000	215000	+
LinJ02-215000-220000	LinJ02	215000	220000	+
LinJ02-220000-225000	LinJ02	220000	225000	+
LinJ02-225000-230000	LinJ02	225000	230000	+
LinJ02-230000-235000	LinJ02	230000	235000	+
LinJ02-235000-240000	LinJ02	235000	240000	+
LinJ02-240000-245000	LinJ02	240000	245000	+
LinJ02-245000-250000	LinJ02	245000	250000	+
LinJ02-250000-255000	LinJ02	250000	255000	+
LinJ02-255000-260000	LinJ02	255000	260000	+
LinJ02-260000-265000	LinJ02	260000	265000	+
LinJ02-265000-270000	LinJ02	265000	270000	+
LinJ02-270000-275000	LinJ02	270000	275000	+
LinJ02-275000-280000	LinJ02	275000	280000	+
LinJ02-280000-285000	LinJ02	280000	285000	+
LinJ02-285000-290000	LinJ02	285000	290000	+
LinJ02-290000-295000	LinJ02	290000	295000	+
LinJ02-295000-300000	LinJ02	295000	300000	+
LinJ02-300000-305000	LinJ02	300000	305000	+
LinJ02-305000-310000	LinJ02	305000	310000	+
LinJ02-310000-315000	LinJ02	310000	315000	+
LinJ02-315000-320000	LinJ02	315000	320000	+
LinJ02-320000-325000	LinJ02	320000	325000	+
LinJ02-325000-330000	LinJ02	325000	330000	+
LinJ02-330000-335000	LinJ02	330000	335000	+
LinJ02-335000-340000	LinJ02	335000	340000	+
LinJ02-340000-345000	LinJ02	340000	345000	+
LinJ02-345000-350000	LinJ02	345000	350000	+
LinJ02-350000-355000	LinJ02	350000	355000	+
LinJ02-355000-356299	LinJ02	355000	356299	+
LinJ03-0-5000	LinJ03	0	5000	+
LinJ03-5000-10000	LinJ03	5000	10000	+
LinJ03-10000-15000	LinJ03	10000	15000	+
LinJ03-15000-20000	LinJ03	15000	20000	+
LinJ03-20000-25000	LinJ03	20000	25000	+
LinJ03-25000-30000	LinJ03	25000	30000	+
LinJ03-30000-35000	LinJ03	30000	35000	+
LinJ03-35000-40000	LinJ03	35000	40000	+
LinJ03-40000-45000	LinJ03	40000	45000	+
LinJ03-45000-50000	LinJ03	45000	50000	+
LinJ03-50000-55000	LinJ03	50000	55000	+
LinJ03-55000-60000	LinJ03	55000	60000	+
LinJ03-60000-65000	LinJ03	60000	65000	+
LinJ03-65000-70000	LinJ03	65000	70000	+
LinJ03-70000-75000	LinJ03	70000	75000	+
LinJ03-75000-80000	LinJ03	75000	80000	+
LinJ03-80000-85000	LinJ03	80000	85000	+
LinJ03-85000-90000	LinJ03	85000	90000	+
LinJ03-90000-95000	LinJ03	90000	95000	+
LinJ03-95000-100000	LinJ03	95000	100000	+
LinJ03-100000-105000	LinJ03	100000	105000	+
LinJ03-105000-110000	LinJ03	105000	110000	+
LinJ03-110000-115000	LinJ03	110000	115000	+
LinJ03-115000-120000	LinJ03	115000	120000	+
LinJ03-120000-125000	LinJ03	120000	125000	+
LinJ03-125000-130000	LinJ03	125000	130000	+
LinJ03-130000-135000	LinJ03	130000	135000	+
LinJ03-135000-140000	LinJ03	135000	140000	+
LinJ03-140000-145000	LinJ03	140000	145000	+
LinJ03-145000-150000	LinJ03	145000	150000	+
LinJ03-150000-155000	LinJ03	150000	155000	+
LinJ03-155000-160000	LinJ03	155000	160000	+
LinJ03-160000-165000	LinJ03	160000	165000	+
LinJ03-165000-170000	LinJ03	165000	170000	+
LinJ03-170000-175000	LinJ03	170000	175000	+
LinJ03-175000-180000	LinJ03	175000	180000	+
LinJ03-180000-185000	LinJ03	180000	185000	+
LinJ03-185000-190000	LinJ03	185000	190000	+
LinJ03-190000-195000	LinJ03	190000	195000	+
LinJ03-195000-200000	LinJ03	195000	200000	+
LinJ03-200000-205000	LinJ03	200000	205000	+
LinJ03-205000-210000	LinJ03	205000	210000	+
LinJ03-210000-215000	LinJ03	210000	215000	+
LinJ03-215000-220000	LinJ03	215000	220000	+
LinJ03-220000-225000	LinJ03	220000	225000	+
LinJ03-225000-230000	LinJ03	225000	230000	+
LinJ03-230000-235000	LinJ03	230000	235000	+
LinJ03-235000-240000	LinJ03	235000	240000	+
LinJ03-240000-245000	LinJ03	240000	245000	+
LinJ03-245000-250000	LinJ03	245000	250000	+
LinJ03-250000-255000	LinJ03	250000	255000	+
LinJ03-255000-260000	LinJ03	255000	260000	+
LinJ03-260000-265000	LinJ03	260000	265000	+
LinJ03-265000-270000	LinJ03	265000	270000	+
LinJ03-270000-275000	LinJ03	270000	275000	+
LinJ03-275000-280000	LinJ03	275000	280000	+
LinJ03-280000-285000	LinJ03	280000	285000	+
LinJ03-285000-290000	LinJ03	285000	290000	+
LinJ03-290000-295000	LinJ03	290000	295000	+
LinJ03-295000-300000	LinJ03	295000	300000	+
LinJ03-300000-305000	LinJ03	300000	305000	+
LinJ03-305000-310000	LinJ03	305000	310000	+
LinJ03-310000-315000	LinJ03	310000	315000	+
LinJ03-315000-320000	LinJ03	315000	320000	+
